DateTime,GpsPos,EventNumber,Data,Team
2019-06-23 04:59:22,N3709.66W00653.95,330,2650,Team Tosca
2019-06-23 08:13:50,-,210,0,Team Tosca
2019-06-23 08:13:50,-,370,0,Team Tosca
2019-06-23 08:14:04,N3709.66W00653.95,150,0,Team Tosca
2019-06-23 08:15:44,-,430,1,Team Tosca
2019-06-23 08:15:45,-,430,2,Team Tosca
2019-06-23 08:15:52,-,390,0,Team Tosca
2019-06-23 08:15:55,N3709.66W00653.95,155,0,Team Tosca
2019-06-23 08:16:07,N3709.66W00653.95,640,1165,Team Tosca
2019-06-23 08:16:07,N3709.66W00653.95,650,1033,Team Tosca
2019-06-23 08:16:07,N3709.66W00653.95,760,100,Team Tosca
2019-06-23 08:16:07,N3709.66W00653.95,770,100,Team Tosca
2019-06-23 08:16:08,N3709.66W00653.95,220,0,Team Tosca
2019-06-23 08:16:08,N3709.66W00653.95,805,0,Team Tosca
2019-06-23 08:17:07,N3709.66W00653.95,331,11,Team Tosca
2019-06-23 08:17:07,N3709.66W00653.95,640,1203,Team Tosca
2019-06-23 08:17:07,N3709.66W00653.95,650,1065,Team Tosca
2019-06-23 08:17:07,N3709.66W00653.95,760,100,Team Tosca
2019-06-23 08:17:07,N3709.66W00653.95,770,100,Team Tosca
2019-06-23 08:18:08,N3709.66W00653.95,331,25,Team Tosca
2019-06-23 08:18:08,N3709.66W00653.95,640,1169,Team Tosca
2019-06-23 08:18:08,N3709.66W00653.95,650,1044,Team Tosca
2019-06-23 08:18:08,N3709.66W00653.95,760,100,Team Tosca
2019-06-23 08:18:08,N3709.66W00653.95,770,100,Team Tosca
2019-06-23 08:19:08,N3709.66W00653.95,331,40,Team Tosca
2019-06-23 08:19:08,N3709.66W00653.95,640,1152,Team Tosca
2019-06-23 08:19:08,N3709.66W00653.95,650,1037,Team Tosca
2019-06-23 08:19:08,N3709.66W00653.95,760,98,Team Tosca
2019-06-23 08:19:08,N3709.66W00653.95,770,98,Team Tosca
2019-06-23 08:20:08,N3709.66W00653.95,331,54,Team Tosca
2019-06-23 08:20:08,N3709.66W00653.95,640,1115,Team Tosca
2019-06-23 08:20:08,N3709.66W00653.95,650,1010,Team Tosca
2019-06-23 08:20:08,N3709.66W00653.95,760,94,Team Tosca
2019-06-23 08:20:08,N3709.66W00653.95,770,95,Team Tosca
2019-06-23 08:21:08,N3709.66W00653.95,331,68,Team Tosca
2019-06-23 08:21:08,N3709.66W00653.95,640,1048,Team Tosca
2019-06-23 08:21:08,N3709.66W00653.95,650,960,Team Tosca
2019-06-23 08:21:08,N3709.66W00653.95,760,90,Team Tosca
2019-06-23 08:21:08,N3709.66W00653.95,770,92,Team Tosca
2019-06-23 08:22:08,N3709.66W00653.95,331,82,Team Tosca
2019-06-23 08:22:08,N3709.66W00653.95,640,1000,Team Tosca
2019-06-23 08:22:08,N3709.66W00653.95,650,926,Team Tosca
2019-06-23 08:22:08,N3709.66W00653.95,760,87,Team Tosca
2019-06-23 08:22:08,N3709.66W00653.95,770,89,Team Tosca
2019-06-23 08:23:08,N3709.66W00653.95,331,97,Team Tosca
2019-06-23 08:23:08,N3709.66W00653.95,640,964,Team Tosca
2019-06-23 08:23:08,N3709.66W00653.95,650,899,Team Tosca
2019-06-23 08:23:08,N3709.66W00653.95,760,84,Team Tosca
2019-06-23 08:23:08,N3709.66W00653.95,770,87,Team Tosca
2019-06-23 08:24:08,N3709.66W00653.95,331,111,Team Tosca
2019-06-23 08:24:08,N3709.66W00653.95,640,931,Team Tosca
2019-06-23 08:24:08,N3709.66W00653.95,650,882,Team Tosca
2019-06-23 08:24:08,N3709.66W00653.95,760,82,Team Tosca
2019-06-23 08:24:08,N3709.66W00653.95,770,86,Team Tosca
2019-06-23 08:25:08,N3709.66W00653.95,331,125,Team Tosca
2019-06-23 08:25:08,N3709.66W00653.95,640,903,Team Tosca
2019-06-23 08:25:08,N3709.66W00653.95,650,850,Team Tosca
2019-06-23 08:25:08,N3709.66W00653.95,760,81,Team Tosca
2019-06-23 08:25:08,N3709.66W00653.95,770,84,Team Tosca
2019-06-23 08:26:08,N3709.66W00653.95,331,139,Team Tosca
2019-06-23 08:26:08,N3709.66W00653.95,640,874,Team Tosca
2019-06-23 08:26:08,N3709.66W00653.95,650,834,Team Tosca
2019-06-23 08:26:08,N3709.66W00653.95,760,79,Team Tosca
2019-06-23 08:26:08,N3709.66W00653.95,770,83,Team Tosca
2019-06-23 08:27:08,N3709.66W00653.95,331,153,Team Tosca
2019-06-23 08:27:08,N3709.66W00653.95,640,854,Team Tosca
2019-06-23 08:27:08,N3709.66W00653.95,650,821,Team Tosca
2019-06-23 08:27:08,N3709.66W00653.95,760,78,Team Tosca
2019-06-23 08:27:08,N3709.66W00653.95,770,82,Team Tosca
2019-06-23 08:28:08,N3709.66W00653.95,331,167,Team Tosca
2019-06-23 08:28:08,N3709.66W00653.95,640,838,Team Tosca
2019-06-23 08:28:08,N3709.66W00653.95,650,809,Team Tosca
2019-06-23 08:28:08,N3709.66W00653.95,760,77,Team Tosca
2019-06-23 08:28:08,N3709.66W00653.95,770,81,Team Tosca
2019-06-23 08:29:08,N3709.66W00653.95,331,181,Team Tosca
2019-06-23 08:29:08,N3709.66W00653.95,640,827,Team Tosca
2019-06-23 08:29:08,N3709.66W00653.95,650,793,Team Tosca
2019-06-23 08:29:08,N3709.66W00653.95,760,76,Team Tosca
2019-06-23 08:29:08,N3709.66W00653.95,770,80,Team Tosca
2019-06-23 08:30:08,N3709.66W00653.95,331,195,Team Tosca
2019-06-23 08:30:08,N3709.66W00653.95,640,823,Team Tosca
2019-06-23 08:30:08,N3709.66W00653.95,650,794,Team Tosca
2019-06-23 08:30:08,N3709.66W00653.95,760,75,Team Tosca
2019-06-23 08:30:08,N3709.66W00653.95,770,80,Team Tosca
2019-06-23 08:31:08,N3709.66W00653.95,331,209,Team Tosca
2019-06-23 08:31:08,N3709.66W00653.95,640,808,Team Tosca
2019-06-23 08:31:08,N3709.66W00653.95,650,787,Team Tosca
2019-06-23 08:31:08,N3709.66W00653.95,760,75,Team Tosca
2019-06-23 08:31:08,N3709.66W00653.95,770,79,Team Tosca
2019-06-23 08:32:08,N3709.66W00653.95,331,223,Team Tosca
2019-06-23 08:32:08,N3709.66W00653.95,640,803,Team Tosca
2019-06-23 08:32:08,N3709.66W00653.95,650,779,Team Tosca
2019-06-23 08:32:08,N3709.66W00653.95,760,74,Team Tosca
2019-06-23 08:32:08,N3709.66W00653.95,770,78,Team Tosca
2019-06-23 08:33:08,N3709.66W00653.95,331,237,Team Tosca
2019-06-23 08:33:08,N3709.66W00653.95,640,789,Team Tosca
2019-06-23 08:33:08,N3709.66W00653.95,650,773,Team Tosca
2019-06-23 08:33:08,N3709.66W00653.95,760,74,Team Tosca
2019-06-23 08:33:08,N3709.66W00653.95,770,78,Team Tosca
2019-06-23 08:34:08,N3709.66W00653.95,331,251,Team Tosca
2019-06-23 08:34:08,N3709.66W00653.95,640,791,Team Tosca
2019-06-23 08:34:08,N3709.66W00653.95,650,771,Team Tosca
2019-06-23 08:34:08,N3709.66W00653.95,760,74,Team Tosca
2019-06-23 08:34:08,N3709.66W00653.95,770,78,Team Tosca
2019-06-23 08:35:08,N3709.66W00653.95,331,265,Team Tosca
2019-06-23 08:35:08,N3709.66W00653.95,640,792,Team Tosca
2019-06-23 08:35:08,N3709.66W00653.95,650,765,Team Tosca
2019-06-23 08:35:08,N3709.66W00653.95,760,74,Team Tosca
2019-06-23 08:35:08,N3709.66W00653.95,770,77,Team Tosca
2019-06-23 08:36:08,N3709.66W00653.95,331,278,Team Tosca
2019-06-23 08:36:08,N3709.66W00653.95,640,781,Team Tosca
2019-06-23 08:36:08,N3709.66W00653.95,650,761,Team Tosca
2019-06-23 08:36:08,N3709.66W00653.95,760,73,Team Tosca
2019-06-23 08:36:08,N3709.66W00653.95,770,77,Team Tosca
2019-06-23 08:37:08,N3709.66W00653.95,331,292,Team Tosca
2019-06-23 08:37:08,N3709.66W00653.95,640,783,Team Tosca
2019-06-23 08:37:08,N3709.66W00653.95,650,765,Team Tosca
2019-06-23 08:37:08,N3709.66W00653.95,760,73,Team Tosca
2019-06-23 08:37:08,N3709.66W00653.95,770,77,Team Tosca
2019-06-23 08:38:08,N3709.66W00653.95,331,306,Team Tosca
2019-06-23 08:38:08,N3709.66W00653.95,640,778,Team Tosca
2019-06-23 08:38:08,N3709.66W00653.95,650,765,Team Tosca
2019-06-23 08:38:08,N3709.66W00653.95,760,73,Team Tosca
2019-06-23 08:38:08,N3709.66W00653.95,770,77,Team Tosca
2019-06-23 08:39:08,N3709.66W00653.95,331,320,Team Tosca
2019-06-23 08:39:08,N3709.66W00653.95,640,772,Team Tosca
2019-06-23 08:39:08,N3709.66W00653.95,650,759,Team Tosca
2019-06-23 08:39:08,N3709.66W00653.95,760,73,Team Tosca
2019-06-23 08:39:08,N3709.66W00653.95,770,77,Team Tosca
2019-06-23 08:40:08,N3709.66W00653.95,331,333,Team Tosca
2019-06-23 08:40:08,N3709.66W00653.95,640,773,Team Tosca
2019-06-23 08:40:08,N3709.66W00653.95,650,749,Team Tosca
2019-06-23 08:40:08,N3709.66W00653.95,760,73,Team Tosca
2019-06-23 08:40:08,N3709.66W00653.95,770,76,Team Tosca
2019-06-23 08:41:08,N3709.66W00653.95,331,347,Team Tosca
2019-06-23 08:41:08,N3709.66W00653.95,640,792,Team Tosca
2019-06-23 08:41:08,N3709.66W00653.95,650,756,Team Tosca
2019-06-23 08:41:08,N3709.66W00653.95,760,73,Team Tosca
2019-06-23 08:41:08,N3709.66W00653.95,770,76,Team Tosca
2019-06-23 08:42:08,N3709.66W00653.95,331,360,Team Tosca
2019-06-23 08:42:08,N3709.66W00653.95,640,761,Team Tosca
2019-06-23 08:42:08,N3709.66W00653.95,650,753,Team Tosca
2019-06-23 08:42:08,N3709.66W00653.95,760,72,Team Tosca
2019-06-23 08:42:08,N3709.66W00653.95,770,76,Team Tosca
2019-06-23 08:43:09,N3709.66W00653.95,331,372,Team Tosca
2019-06-23 08:43:09,N3709.66W00653.95,640,764,Team Tosca
2019-06-23 08:43:09,N3709.66W00653.95,650,753,Team Tosca
2019-06-23 08:43:09,N3709.66W00653.95,760,72,Team Tosca
2019-06-23 08:43:09,N3709.66W00653.95,770,76,Team Tosca
2019-06-23 08:44:09,N3709.66W00653.95,331,385,Team Tosca
2019-06-23 08:44:09,N3709.66W00653.95,640,765,Team Tosca
2019-06-23 08:44:09,N3709.66W00653.95,650,753,Team Tosca
2019-06-23 08:44:09,N3709.66W00653.95,760,72,Team Tosca
2019-06-23 08:44:09,N3709.66W00653.95,770,76,Team Tosca
2019-06-23 08:45:09,N3709.66W00653.95,331,399,Team Tosca
2019-06-23 08:45:09,N3709.66W00653.95,640,763,Team Tosca
2019-06-23 08:45:09,N3709.66W00653.95,650,750,Team Tosca
2019-06-23 08:45:09,N3709.66W00653.95,760,72,Team Tosca
2019-06-23 08:45:09,N3709.66W00653.95,770,76,Team Tosca
2019-06-23 08:46:08,-,240,0,Team Tosca
2019-06-23 08:46:09,N3709.66W00653.95,640,766,Team Tosca
2019-06-23 08:46:09,N3709.66W00653.95,650,756,Team Tosca
2019-06-23 08:46:09,N3709.66W00653.95,760,72,Team Tosca
2019-06-23 08:46:09,N3709.66W00653.95,770,76,Team Tosca
2019-06-23 08:46:40,N3709.66W00653.95,805,0,Team Tosca
2019-06-23 08:47:09,N3709.66W00653.95,331,425,Team Tosca
2019-06-23 08:47:09,N3709.66W00653.95,640,856,Team Tosca
2019-06-23 08:47:09,N3709.66W00653.95,650,809,Team Tosca
2019-06-23 08:47:09,N3709.66W00653.95,760,72,Team Tosca
2019-06-23 08:47:09,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 08:48:09,N3709.66W00653.95,331,438,Team Tosca
2019-06-23 08:48:09,N3709.66W00653.95,640,848,Team Tosca
2019-06-23 08:48:09,N3709.66W00653.95,650,806,Team Tosca
2019-06-23 08:48:09,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 08:48:09,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 08:49:09,N3709.66W00653.95,331,452,Team Tosca
2019-06-23 08:49:09,N3709.66W00653.95,640,843,Team Tosca
2019-06-23 08:49:09,N3709.66W00653.95,650,798,Team Tosca
2019-06-23 08:49:09,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 08:49:09,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 08:50:09,N3709.66W00653.95,331,465,Team Tosca
2019-06-23 08:50:09,N3709.66W00653.95,640,790,Team Tosca
2019-06-23 08:50:09,N3709.66W00653.95,650,768,Team Tosca
2019-06-23 08:50:09,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 08:50:09,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 08:51:09,N3709.66W00653.95,331,478,Team Tosca
2019-06-23 08:51:09,N3709.66W00653.95,640,753,Team Tosca
2019-06-23 08:51:09,N3709.66W00653.95,650,758,Team Tosca
2019-06-23 08:51:09,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 08:51:09,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 08:52:09,N3709.66W00653.95,331,491,Team Tosca
2019-06-23 08:52:09,N3709.66W00653.95,640,747,Team Tosca
2019-06-23 08:52:09,N3709.66W00653.95,650,754,Team Tosca
2019-06-23 08:52:09,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 08:52:09,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 08:53:09,N3709.66W00653.95,331,505,Team Tosca
2019-06-23 08:53:09,N3709.66W00653.95,640,751,Team Tosca
2019-06-23 08:53:09,N3709.66W00653.95,650,754,Team Tosca
2019-06-23 08:53:09,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 08:53:09,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 08:54:09,N3709.66W00653.95,331,518,Team Tosca
2019-06-23 08:54:09,N3709.66W00653.95,640,759,Team Tosca
2019-06-23 08:54:09,N3709.66W00653.95,650,750,Team Tosca
2019-06-23 08:54:09,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 08:54:09,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 08:55:09,N3709.66W00653.95,331,531,Team Tosca
2019-06-23 08:55:09,N3709.66W00653.95,640,765,Team Tosca
2019-06-23 08:55:09,N3709.66W00653.95,650,749,Team Tosca
2019-06-23 08:55:09,N3709.66W00653.95,760,71,Team Tosca
2019-06-23 08:55:09,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 08:56:09,N3709.66W00653.95,331,544,Team Tosca
2019-06-23 08:56:09,N3709.66W00653.95,640,756,Team Tosca
