Data,DateTime,EventNumber,GpsPos,Team
1004,2019-08-23 20:44:41,640,N1813.43W09427.92,Team Tosca
991,2019-08-23 20:44:41,650,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:44:41,760,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:44:41,770,N1813.43W09427.92,Team Tosca
210,2019-08-23 20:45:41,331,N1813.43W09427.93,Team Tosca
1073,2019-08-23 20:45:41,640,N1813.43W09427.93,Team Tosca
1051,2019-08-23 20:45:41,650,N1813.43W09427.93,Team Tosca
100,2019-08-23 20:45:41,760,N1813.43W09427.93,Team Tosca
100,2019-08-23 20:45:41,770,N1813.43W09427.93,Team Tosca
221,2019-08-23 20:46:41,331,N1813.43W09427.93,Team Tosca
1033,2019-08-23 20:46:41,640,N1813.43W09427.93,Team Tosca
1030,2019-08-23 20:46:41,650,N1813.43W09427.93,Team Tosca
100,2019-08-23 20:46:41,760,N1813.43W09427.93,Team Tosca
100,2019-08-23 20:46:41,770,N1813.43W09427.93,Team Tosca
0,2019-08-23 20:47:38,240,-,Team Tosca
996,2019-08-23 20:47:41,640,N1813.43W09427.93,Team Tosca
1002,2019-08-23 20:47:41,650,N1813.43W09427.93,Team Tosca
100,2019-08-23 20:47:41,760,N1813.43W09427.93,Team Tosca
100,2019-08-23 20:47:41,770,N1813.43W09427.93,Team Tosca
0,2019-08-23 20:48:10,806,N1813.43W09427.93,Team Tosca
243,2019-08-23 20:48:41,331,N1813.43W09427.93,Team Tosca
1408,2019-08-23 20:48:41,640,N1813.43W09427.93,Team Tosca
1343,2019-08-23 20:48:41,650,N1813.43W09427.93,Team Tosca
100,2019-08-23 20:48:41,760,N1813.43W09427.93,Team Tosca
